,timestamp,elapsed,message_type,instance_id,instance_type,processor_a_cpu,processor_b_cpu,processor_c_cpu,processor_a_mem,processor_b_mem,processor_c_mem
1364,1717037316,6231689,text,a,large-cpu,,,,,,
1365,1717037316,8701553,text,b,medium-cpu,,,,,,
1366,1717037316,9482468,text,c,medium-gpu,,,,,,
1367,1717037316,12968077,text,a,large-cpu,,,,,,
1368,1717037316,2573888,text,b,medium-cpu,,,,,,
1369,1717037316,12803000,text,c,medium-gpu,,,,,,
1370,1717037316,2310880,text,a,large-cpu,,,,,,
1371,1717037316,5883109,text,b,medium-cpu,,,,,,
1372,1717037316,10774103,text,c,medium-gpu,,,,,,
1373,1717037316,7679340,text,a,large-cpu,,,,,,
1374,1717037316,21066423,text,b,medium-cpu,,,,,,
1375,1717037316,4477141,text,c,medium-gpu,,,,,,
1376,1717037316,3469373,text,a,large-cpu,,,,,,
1377,1717037316,10264365,text,b,medium-cpu,,,,,,
1378,1717037317,18719105,text,c,medium-gpu,,,,,,
1379,1717037317,2254595,text,a,large-cpu,,,,,,
1380,1717037317,7768291,text,b,medium-cpu,,,,,,
1381,1717037317,15116917,text,c,medium-gpu,,,,,,
1382,1717037317,2242967,text,a,large-cpu,,,,,,
1383,1717037317,10813284,text,b,medium-cpu,,,,,,
1384,1717037317,8737493,text,c,medium-gpu,,,,,,
1385,1717037317,5884760,text,a,large-cpu,,,,,,
1386,1717037317,3756562,text,b,medium-cpu,,,,,,
1387,1717037317,5128333,text,c,medium-gpu,,,,,,
1388,1717037317,7541104,text,a,large-cpu,,,,,,
1389,1717037317,15989493,text,b,medium-cpu,,,,,,
1390,1717037317,3086885,text,c,medium-gpu,,,,,,
1391,1717037317,6484808,text,a,large-cpu,,,,,,
1392,1717037317,5285465,text,b,medium-cpu,,,,,,
1393,1717037317,8415473,text,c,medium-gpu,,,,,,
1394,1717037318,8300035,text,a,large-cpu,,,,,,
1395,1717037318,11461241,text,b,medium-cpu,,,,,,
1396,1717037318,17537018,text,c,medium-gpu,,,,,,
1397,1717037318,7651992,text,a,large-cpu,,,,,,
1398,1717037318,13149973,text,b,medium-cpu,,,,,,
1399,1717037318,9769310,text,c,medium-gpu,,,,,,
1400,1717037318,3264132,text,a,large-cpu,,,,,,
1401,1717037318,17663803,text,b,medium-cpu,,,,,,
1402,1717037318,3308486,text,c,medium-gpu,,,,,,
1403,1717037318,26536742,text,a,large-cpu,,,,,,
1404,1717037318,12592834,text,b,medium-cpu,,,,,,
1405,1717037318,18748499,text,c,medium-gpu,,,,,,
1406,1717037318,3003457,text,a,large-cpu,,,,,,
1407,1717037318,13088798,text,b,medium-cpu,,,,,,
1408,1717037318,1811199,text,c,medium-gpu,,,,,,
1409,1717037319,5615987,text,a,large-cpu,,,,,,
1410,1717037319,10114171,text,c,medium-gpu,,,,,,
1411,1717037319,2747524,text,a,large-cpu,,,,,,
1412,1717037319,25150124,text,c,medium-gpu,,,,,,
1413,1717037319,1215724,text,a,large-cpu,,,,,,
1414,1717037319,267702883,text,b,medium-cpu,,,,,,
1415,1717037319,71329848,text,b,medium-cpu,,,,,,
1416,1717037319,6836802,text,c,medium-gpu,,,,,,
1417,1717037319,18569770,text,a,large-cpu,,,,,,
1418,1717037319,69307989,text,b,medium-cpu,,,,,,
1419,1717037319,15147521,text,c,medium-gpu,,,,,,
1420,1717037319,685187898,image,b,medium-cpu,,,,,,
1421,1717037319,15925567,text,a,large-cpu,,,,,,
1422,1717037319,14123187,text,b,medium-cpu,,,,,,
1423,1717037319,13970434,text,c,medium-gpu,,,,,,
1424,1717037320,8060174,text,a,large-cpu,,,,,,
1425,1717037320,8602250,text,b,medium-cpu,,,,,,
1426,1717037320,12197155,text,c,medium-gpu,,,,,,
1427,1717037320,10112034,text,a,large-cpu,,,,,,
1428,1717037320,17755628,text,b,medium-cpu,,,,,,
1429,1717037320,4878671,text,c,medium-gpu,,,,,,
1430,1717037320,19384966,text,a,large-cpu,,,,,,
1431,1717037320,1340344,text,b,medium-cpu,,,,,,
1432,1717037320,15544172,text,c,medium-gpu,,,,,,
1433,1717037320,11468070,text,a,large-cpu,,,,,,
1434,1717037320,9185255,text,b,medium-cpu,,,,,,
1435,1717037320,18498880,text,c,medium-gpu,,,,,,
1436,1717037320,3990235,text,a,large-cpu,,,,,,
1437,1717037320,23330443,text,b,medium-cpu,,,,,,
1438,1717037320,6606199,text,c,medium-gpu,,,,,,
1439,1717037321,9628895,text,a,large-cpu,,,,,,
1440,1717037321,6915700,text,c,medium-gpu,,,,,,
1441,1717037321,8287449,text,a,large-cpu,,,,,,
1442,1717037321,8864851,text,c,medium-gpu,,,,,,
1443,1717037321,84270633,text,b,medium-cpu,,,,,,
1444,1717037321,4808543,text,a,large-cpu,,,,,,
1445,1717037321,2405085,text,b,medium-cpu,,,,,,
1446,1717037321,11543280,text,c,medium-gpu,,,,,,
1447,1717037321,494090117,image,b,medium-cpu,,,,,,
1448,1717037321,9897754,text,a,large-cpu,,,,,,
1449,1717037321,16609040,text,b,medium-cpu,,,,,,
1450,1717037321,3705858,text,c,medium-gpu,,,,,,
1451,1717037321,7358009,text,a,large-cpu,,,,,,
1452,1717037321,10138236,text,b,medium-cpu,,,,,,
1453,1717037321,4507281,text,c,medium-gpu,,,,,,
1454,1717037322,9929481,text,a,large-cpu,,,,,,
1455,1717037322,19391933,text,b,medium-cpu,,,,,,
1456,1717037322,8710630,text,c,medium-gpu,,,,,,
1457,1717037322,9413157,text,a,large-cpu,,,,,,
1458,1717037322,6745827,text,b,medium-cpu,,,,,,
1459,1717037322,8217794,text,c,medium-gpu,,,,,,
1460,1717037322,8755988,text,a,large-cpu,,,,,,
1461,1717037322,894461,text,b,medium-cpu,,,,,,
1462,1717037322,4207350,text,c,medium-gpu,,,,,,
1463,1717037322,6408343,text,a,large-cpu,,,,,,
1464,1717037322,10432304,text,b,medium-cpu,,,,,,
1465,1717037322,6304857,text,c,medium-gpu,,,,,,
1466,1717037322,8784023,text,a,large-cpu,,,,,,
1467,1717037322,13337592,text,b,medium-cpu,,,,,,
1468,1717037322,8090561,text,c,medium-gpu,,,,,,
1469,1717037323,2826783,text,a,large-cpu,,,,,,
1470,1717037323,12968421,text,b,medium-cpu,,,,,,
1471,1717037323,13316492,text,c,medium-gpu,,,,,,
1472,1717037323,4977274,text,a,large-cpu,,,,,,
1473,1717037323,14377706,text,b,medium-cpu,,,,,,
1474,1717037323,20038132,text,c,medium-gpu,,,,,,
1475,1717037323,10710573,text,a,large-cpu,,,,,,
1476,1717037323,2329486,text,b,medium-cpu,,,,,,
1477,1717037323,17579812,text,c,medium-gpu,,,,,,
1478,1717037323,7660776,text,b,medium-cpu,,,,,,
1479,1717037323,131388771,image,a,large-cpu,,,,,,
1480,1717037323,9594564,text,c,medium-gpu,,,,,,
1481,1717037323,16828799,text,a,large-cpu,,,,,,
1482,1717037323,4658680,text,b,medium-cpu,,,,,,
1483,1717037323,11355254,text,c,medium-gpu,,,,,,
1484,1717037323,18767199,text,a,large-cpu,,,,,,
1485,1717037324,9679297,text,b,medium-cpu,,,,,,
1486,1717037324,13456081,text,c,medium-gpu,,,,,,
1487,1717037324,9533851,text,a,large-cpu,,,,,,
1488,1717037324,17753176,text,b,medium-cpu,,,,,,
1489,1717037324,2145000,text,c,medium-gpu,,,,,,
1490,1717037324,17553175,text,a,large-cpu,,,,,,
1491,1717037324,12520065,text,b,medium-cpu,,,,,,
1492,1717037324,7407692,text,c,medium-gpu,,,,,,
1493,1717037324,8490340,text,a,large-cpu,,,,,,
1494,1717037324,22513779,text,b,medium-cpu,,,,,,
1495,1717037324,8839299,text,c,medium-gpu,,,,,,
1496,1717037324,7653451,text,a,large-cpu,,,,,,
1497,1717037324,3796879,text,b,medium-cpu,,,,,,
1498,1717037324,2386786,text,c,medium-gpu,,,,,,
1499,1717037324,11833136,text,a,large-cpu,,,,,,
1500,1717037325,8023086,text,c,medium-gpu,,,,,,
1501,1717037325,16171924,text,a,large-cpu,,,,,,
1502,1717037325,3929371,text,c,medium-gpu,,,,,,
1503,1717037325,94136431,text,b,medium-cpu,,,,,,
1504,1717037325,11031853,text,a,large-cpu,,,,,,
1505,1717037325,4459318,text,c,medium-gpu,,,,,,
1506,1717037325,89368387,text,b,medium-cpu,,,,,,
1507,1717037325,7031613,text,a,large-cpu,,,,,,
1508,1717037325,6464663,text,c,medium-gpu,,,,,,
1509,1717037325,100428581,text,b,medium-cpu,,,,,,
1510,1717037325,2263734,text,a,large-cpu,,,,,,
1511,1717037325,2451600,text,b,medium-cpu,,,,,,
1512,1717037325,5507932,text,c,medium-gpu,,,,,,
1513,1717037325,908733437,image,b,medium-cpu,,,,,,
1514,1717037325,1252426,text,a,large-cpu,,,,,,
1515,1717037326,13804489,text,b,medium-cpu,,,,,,
1516,1717037326,13701779,text,c,medium-gpu,,,,,,
1517,1717037326,6234976,text,a,large-cpu,,,,,,
1518,1717037326,4578056,text,b,medium-cpu,,,,,,
1519,1717037326,7711660,text,c,medium-gpu,,,,,,
1520,1717037326,10390386,text,a,large-cpu,,,,,,
1521,1717037326,2450806,text,b,medium-cpu,,,,,,
1522,1717037326,8460318,text,c,medium-gpu,,,,,,
1523,1717037326,1330655,text,a,large-cpu,,,,,,
1524,1717037326,1033602,text,b,medium-cpu,,,,,,
1525,1717037326,4650931,text,c,medium-gpu,,,,,,
1526,1717037326,13033983,text,a,large-cpu,,,,,,
1527,1717037326,9078894,text,b,medium-cpu,,,,,,
1528,1717037326,10587963,text,c,medium-gpu,,,,,,
1529,1717037326,11704563,text,a,large-cpu,,,,,,
1530,1717037327,27577837,text,b,medium-cpu,,,,,,
1531,1717037327,6147713,text,c,medium-gpu,,,,,,
1532,1717037327,14827101,text,a,large-cpu,,,,,,
1533,1717037327,5739583,text,b,medium-cpu,,,,,,
1534,1717037327,5394675,text,c,medium-gpu,,,,,,
1535,1717037327,8588514,text,a,large-cpu,,,,,,
1536,1717037327,10847236,text,b,medium-cpu,,,,,,
1537,1717037327,10049076,text,c,medium-gpu,,,,,,
1538,1717037327,4128639,text,a,large-cpu,,,,,,
1539,1717037327,12503454,text,b,medium-cpu,,,,,,
1540,1717037327,6404503,text,c,medium-gpu,,,,,,
1541,1717037327,3013170,text,a,large-cpu,,,,,,
1542,1717037327,3947489,text,b,medium-cpu,,,,,,
1543,1717037327,15643168,text,c,medium-gpu,,,,,,
1544,1717037327,18961700,text,a,large-cpu,,,,,,
1545,1717037328,7151927,text,b,medium-cpu,,,,,,
1546,1717037328,7323863,text,c,medium-gpu,,,,,,
1547,1717037328,10664159,text,a,large-cpu,,,,,,
1548,1717037328,3265343,text,b,medium-cpu,,,,,,
1549,1717037328,16997748,text,c,medium-gpu,,,,,,
1550,1717037328,12906372,text,a,large-cpu,,,,,,
1551,1717037328,19589265,text,b,medium-cpu,,,,,,
1552,1717037328,12906925,text,c,medium-gpu,,,,,,
1553,1717037328,17284524,text,a,large-cpu,,,,,,
1554,1717037328,5868056,text,b,medium-cpu,,,,,,
1555,1717037328,7071385,text,c,medium-gpu,,,,,,
1556,1717037328,16600364,text,a,large-cpu,,,,,,
1557,1717037328,17901103,text,b,medium-cpu,,,,,,
1558,1717037328,11309531,text,c,medium-gpu,,,,,,
1559,1717037328,18549827,text,a,large-cpu,,,,,,
1560,1717037329,14426751,text,b,medium-cpu,,,,,,
1561,1717037329,15272652,text,c,medium-gpu,,,,,,
1562,1717037329,13923438,text,a,large-cpu,,,,,,
1563,1717037329,2145413,text,b,medium-cpu,,,,,,
1564,1717037329,10123889,text,c,medium-gpu,,,,,,
1565,1717037329,9582155,text,a,large-cpu,,,,,,
1566,1717037329,16555967,text,b,medium-cpu,,,,,,
1567,1717037329,7911432,text,c,medium-gpu,,,,,,
1568,1717037329,23039775,text,a,large-cpu,,,,,,
1569,1717037329,5998065,text,b,medium-cpu,,,,,,
1570,1717037329,6625899,text,c,medium-gpu,,,,,,
1571,1717037329,5789615,text,a,large-cpu,,,,,,
1572,1717037329,12398724,text,b,medium-cpu,,,,,,
1573,1717037329,11438321,text,c,medium-gpu,,,,,,
1574,1717037329,11779819,text,a,large-cpu,,,,,,
1575,1717037330,8192521,text,b,medium-cpu,,,,,,
1576,1717037330,11220642,text,c,medium-gpu,,,,,,
1577,1717037330,4002203,text,a,large-cpu,,,,,,
1578,1717037330,4112864,text,b,medium-cpu,,,,,,
1579,1717037330,2237472,text,c,medium-gpu,,,,,,
1580,1717037330,6711778,text,a,large-cpu,,,,,,
1581,1717037330,15844559,text,b,medium-cpu,,,,,,
1582,1717037330,7466856,text,c,medium-gpu,,,,,,
1583,1717037330,23725962,text,a,large-cpu,,,,,,
