1717036246,16057936,text,a,large-cpu
1717036246,3177861,text,b,medium-cpu
1717036247,3903375,text,c,medium-gpu
1717036247,7477111,text,a,large-cpu
1717036247,4044900,text,b,medium-cpu
1717036247,15068862,text,c,medium-gpu
1717036247,10311419,text,a,large-cpu
1717036248,18024472,text,b,medium-cpu
1717036248,5185283,image,c,medium-gpu
1717036248,7050475,text,a,large-cpu
1717036248,2133745,text,b,medium-cpu
1717036248,9815860,text,c,medium-gpu
1717036249,21661547,text,a,large-cpu
1717036249,13996439,text,b,medium-cpu
1717036249,2766383,text,c,medium-gpu
1717036249,10720505,text,a,large-cpu
1717036249,6442087,text,b,medium-cpu
1717036250,4768250,text,c,medium-gpu
1717036250,8493967,text,a,large-cpu
1717036250,6110231,text,b,medium-cpu
1717036250,11587013,text,c,medium-gpu
1717036250,21989330,text,a,large-cpu
1717036251,7569745,text,b,medium-cpu
1717036251,9519327,text,c,medium-gpu
1717036251,6968053,text,a,large-cpu
1717036251,11328412,text,b,medium-cpu
1717036251,15005614,text,c,medium-gpu
1717036252,15557989,text,a,large-cpu
1717036252,23419156,text,b,medium-cpu
1717036252,10022942,text,c,medium-gpu
1717036252,10072036,text,a,large-cpu
1717036252,2125810,text,b,medium-cpu
1717036253,2223898,text,c,medium-gpu
1717036253,4486101,text,a,large-cpu
1717036253,1981504,text,b,medium-cpu
1717036253,5103663,text,c,medium-gpu
1717036253,4275751,text,a,large-cpu
1717036254,8906727,text,b,medium-cpu
1717036254,3856194,text,c,medium-gpu
1717036254,1784974,text,a,large-cpu
1717036254,13599462,text,b,medium-cpu
1717036254,9319986,text,c,medium-gpu
1717036255,12161538,text,a,large-cpu
1717036255,16825697,text,b,medium-cpu
1717036255,13526565,text,c,medium-gpu
1717036255,5446820,text,a,large-cpu
1717036255,18184240,text,b,medium-cpu
1717036256,14783695,text,c,medium-gpu
1717036256,12783458,text,a,large-cpu
1717036256,8428217,text,b,medium-cpu
1717036256,13694485,text,c,medium-gpu
1717036256,4394581,text,a,large-cpu
1717036257,5183025,text,b,medium-cpu
1717036257,2284790,text,c,medium-gpu
1717036257,4517296,text,a,large-cpu
1717036257,9896112,text,b,medium-cpu
1717036257,15567244,text,c,medium-gpu
1717036258,7944899,text,a,large-cpu
1717036258,7967409,text,b,medium-cpu
1717036258,5018088,text,c,medium-gpu
1717036258,4096525,text,a,large-cpu
1717036258,10207980,text,b,medium-cpu
1717036259,5940564,text,c,medium-gpu
1717036259,13333583,text,a,large-cpu
1717036259,14032496,text,b,medium-cpu
1717036259,3343361,text,c,medium-gpu
1717036259,2017437,text,a,large-cpu
1717036260,8735080,text,b,medium-cpu
1717036260,3341812,text,c,medium-gpu
1717036260,8279120,text,a,large-cpu
1717036260,6694117,text,b,medium-cpu
1717036260,12369577,text,c,medium-gpu
1717036261,2956851,text,a,large-cpu
1717036261,5362936,text,b,medium-cpu
1717036261,82450103,audio,c,medium-gpu
1717036261,13460535,text,a,large-cpu
1717036261,13115317,text,b,medium-cpu
1717036262,8293244,text,c,medium-gpu
1717036262,4670804,text,a,large-cpu
1717036262,13135412,text,b,medium-cpu
1717036262,11370041,text,c,medium-gpu
1717036262,16167128,text,a,large-cpu
1717036263,2924078,text,b,medium-cpu
1717036263,1586625,text,c,medium-gpu
1717036263,4163762,text,a,large-cpu
1717036263,6855301,text,b,medium-cpu
1717036263,11487039,text,c,medium-gpu
1717036264,4981768,text,a,large-cpu
1717036264,2654504,text,b,medium-cpu
1717036264,5626380,text,c,medium-gpu
1717036264,1680518,text,a,large-cpu
1717036264,17972139,text,b,medium-cpu
1717036265,15098345,text,c,medium-gpu
1717036265,16108729,text,a,large-cpu
1717036265,4721828,text,b,medium-cpu
1717036265,999676,text,c,medium-gpu
1717036265,21133917,text,a,large-cpu
1717036266,22457690,text,b,medium-cpu
1717036266,24656593,text,c,medium-gpu
1717036266,2467095,text,a,large-cpu
1717036266,7828345,text,b,medium-cpu
1717036266,5621608,text,c,medium-gpu
1717036267,23180368,text,a,large-cpu
1717036267,7285091,text,b,medium-cpu
1717036267,13340881,text,c,medium-gpu
1717036267,1947546,text,a,large-cpu
1717036267,11598454,text,b,medium-cpu
1717036268,2104167,text,c,medium-gpu
1717036268,3331873,text,a,large-cpu
1717036268,10246659,text,b,medium-cpu
1717036268,12896170,text,c,medium-gpu
1717036268,16099396,text,a,large-cpu
1717036269,3488696,text,b,medium-cpu
1717036269,3323307,text,c,medium-gpu
1717036269,4463395,text,a,large-cpu
1717036269,7212504,text,b,medium-cpu
1717036269,1895593,text,c,medium-gpu
1717036270,19451664,text,a,large-cpu
1717036270,7615831,text,b,medium-cpu
1717036270,7976192,text,c,medium-gpu
1717036270,11066810,text,a,large-cpu
1717036270,12064649,text,b,medium-cpu
1717036271,2034952,text,c,medium-gpu
1717036271,10330771,text,a,large-cpu
1717036271,9777332,text,b,medium-cpu
1717036271,1823504,text,c,medium-gpu
1717036271,7451114,text,a,large-cpu
1717036272,3347928,text,b,medium-cpu
1717036272,9386408,text,c,medium-gpu
1717036272,8969637,text,a,large-cpu
1717036272,3599889,text,b,medium-cpu
1717036272,14464183,text,c,medium-gpu
1717036273,3545416,text,a,large-cpu
1717036273,26671499,text,b,medium-cpu
1717036273,5455227,text,c,medium-gpu
1717036273,5222366,text,a,large-cpu
1717036273,7282548,text,b,medium-cpu
